kev_cve,kev_description,non_kev_cve,non_kev_description,similarity,rank
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),N/A,WordPress Plugin InfiniteWP - Client Authentication Bypass (Metasploit),0.7199020981788635,8
CVE-2023-7028,GitLab CE/EE < 16.7.2 - Password Reset,N/A,GitLab Community Edition (CE) 13.10.3 - 'Sign_Up' User Enumeration,0.7182849049568176,2
CVE-2018-16763,Fuel CMS 1.4.1 - Remote Code Execution (3),N/A,Judging Management System v1.0 - Remote Code Execution (RCE),0.7181521058082581,2
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),N/A,Centreon 19.10.5 - 'Pollers' Remote Command Execution (Metasploit),0.717147707939148,9
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,N/A,Ajenti 2.1.36 - Remote Code Execution (Authenticated),0.7170036435127258,8
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,CVE-2025-50481,Mezzanine CMS 6.1.0 - Stored Cross Site Scripting (XSS),0.7141067981719971,4
CVE-2023-23752,Joomla! v4.2.8 - Unauthenticated information disclosure,N/A,Joomla! Component ACYMAILING 3.9.0 - Unauthenticated Arbitrary File Upload,0.7140700817108154,1
CVE-2019-13720,Google Chrome 78.0.3904.70 - Remote Code Execution,N/A,Google Chrome 80.0.3987.87 - Heap-Corruption Remote Denial of Service (PoC),0.7137885093688965,1
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,CVE-2023-0315,Froxlor 2.0.3 Stable - Remote Code Execution (RCE),0.7119824886322021,6
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,N/A,Centreo 19.10.8 - 'DisplayServiceStatus' Remote Code Execution,0.7116769552230835,7
CVE-2023-3460,Ultimate Member WordPress Plugin 2.6.6 - Privilege Escalation,N/A,Textpattern 4.8.3 - Remote code execution (Authenticated) (2),0.7115514874458313,1
CVE-2020-17519,Apache Flink 1.11.0 - Unauthenticated Arbitrary File Read (Metasploit),N/A,Wordpress Plugin Duplicator 1.3.26 - Unauthenticated Arbitrary File Read (Metasploit),0.7110238075256348,2
CVE-2017-9841,PHP Unit 4.8.28 - Remote Code Execution (RCE) (Unauthenticated),N/A,PHP 8.1.0-dev - 'User-Agentt' Remote Code Execution,0.7093585133552551,1
CVE-2021-22205,GitLab 13.10.2 - Remote Code Execution (RCE) (Unauthenticated),CVE-2022-1175,GitLab 14.9 - Stored Cross-Site Scripting (XSS),0.708903968334198,3
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,N/A,TextPattern CMS 4.8.3 - Remote Code Execution (Authenticated),0.7085495591163635,8
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,N/A,Cacti v1.2.8 - Unauthenticated Remote Code Execution (Metasploit),0.7076889872550964,9
CVE-2018-12613,phpMyAdmin 4.8.1 - Remote Code Execution (RCE),CVE-2022-36446,Webmin 1.996 - Remote Code Execution (RCE) (Authenticated),0.7073209881782532,3
CVE-2018-16763,Fuel CMS 1.4.1 - Remote Code Execution (3),N/A,Cmsimple 5.4 - Remote Code Execution (RCE) (Authenticated),0.7069208025932312,3
CVE-2020-17519,Apache Flink 1.11.0 - Unauthenticated Arbitrary File Read (Metasploit),N/A,WordPress Plugin Autoptimize 2.7.6 - Authenticated Arbitrary File Upload (Metasploit),0.7062638998031616,3
CVE-2019-9082;CVE-2018-20062,ThinkPHP - Multiple PHP Injection RCEs (Metasploit),N/A,WordPress Plugin W3 Total Cache - Unauthenticated Arbitrary File Read (Metasploit),0.7055804133415222,3
CVE-2021-42013;CVE-2021-41773,Apache HTTP Server 2.4.50 - Remote Code Execution (RCE) (3),CVE-2019-16113,Bludit 3.9.12 - Directory Traversal,0.7043051719665527,5
CVE-2020-1147,Microsoft SharePoint Server 2019 - Remote Code Execution,N/A,Centreo 19.10.8 - 'DisplayServiceStatus' Remote Code Execution,0.7040572166442871,1
CVE-2021-22205,GitLab 13.10.2 - Remote Code Execution (RCE) (Unauthenticated),CVE-2018-19585;CVE-2018-19571,GitLab 11.4.7 - Remote Code Execution (Authenticated) (1),0.7036944031715393,4
CVE-2023-7028,GitLab CE/EE < 16.7.2 - Password Reset,CVE-2018-19585;CVE-2018-19571,GitLab 11.4.7 - RCE (Authenticated) (2),0.7033233642578125,3
CVE-2020-1147,Microsoft SharePoint Server 2019 - Remote Code Execution (2),N/A,Centreo 19.10.8 - 'DisplayServiceStatus' Remote Code Execution,0.7029758095741272,1
CVE-2022-21661,WordPress Core 5.8.2 - 'WP_Query' SQL Injection,N/A,Online Documents Sharing Platform 1.0 - 'user' SQL Injection,0.7028267979621887,2
CVE-2022-39291;CVE-2022-39290;CVE-2022-39285,Zoneminder < v1.37.24 - Log Injection & Stored XSS & CSRF Bypass,CVE-2021-31761,Webmin 1.973 - 'run.cgi' Cross-Site Request Forgery (CSRF),0.7021685242652893,1
CVE-2018-12613,phpMyAdmin 4.8.1 - Remote Code Execution (RCE),CVE-2022-0824,Webmin 1.984 - Remote Code Execution (Authenticated),0.700594961643219,4
CVE-2018-16763,Fuel CMS 1.4.1 - Remote Code Execution (3),N/A,phpIPAM 1.4.5 - Remote Code Execution (RCE) (Authenticated),0.7005286812782288,4
CVE-2025-0868,DocsGPT 0.12.0 - Remote Code Execution,CVE-2022-23626,m1k1o's Blog v.10 - Remote Code Execution (RCE) (Authenticated),0.6994162797927856,1
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),N/A,Bludit 3.9.2 - Authentication Bruteforce Bypass (Metasploit),0.6993032097816467,10
CVE-2020-17519,Apache Flink 1.11.0 - Unauthenticated Arbitrary File Read (Metasploit),N/A,Apache Flink 1.9.x - File Upload RCE (Unauthenticated),0.6990119218826294,4
CVE-2018-16763,Fuel CMS 1.4.1 - Remote Code Execution (3),CVE-2023-41425,WonderCMS 3.4.2 - Remote Code Execution (RCE),0.698940634727478,5
CVE-2018-16167,LogonTracer 1.2.0 - Remote Code Execution (Unauthenticated),CVE-2023-48292,XWiki Standard 14.10 - Remote Code Execution (RCE),0.6981245279312134,1
CVE-2018-16763,Fuel CMS 1.4.1 - Remote Code Execution (3),N/A,Job Portal 1.0 - Remote Code Execution,0.697776734828949,6
CVE-2022-21661,WordPress Core 5.8.2 - 'WP_Query' SQL Injection,N/A,COVID19 Testing Management System 1.0 - SQL Injection (Auth Bypass),0.6976965069770813,3
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,N/A,b2evolution 6.11.6 - 'tab3' Reflected XSS,0.6957565546035767,5
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,N/A,XMB 1.9.12.06 - Stored XSS,0.6956338286399841,6
CVE-2020-1147,Microsoft SharePoint Server 2019 - Remote Code Execution (2),N/A,CMSimple 5.4 - Local file inclusion (LFI) to Remote code execution (RCE) (Authenticated),0.6953949928283691,2
CVE-2020-8816,Pi-hole 4.3.2 - Remote Code Execution (Authenticated),CVE-2019-16113,Bludit 3.9.12 - Directory Traversal,0.6946081519126892,1
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),N/A,Wordpress Plugin wpDiscuz 7.0.4 - Unauthenticated Arbitrary File Upload (Metasploit),0.694480836391449,6
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,CVE-2023-0315,Froxlor 2.0.3 Stable - Remote Code Execution (RCE),0.6943453550338745,9
CVE-2020-17519,Apache Flink 1.11.0 - Unauthenticated Arbitrary File Read (Metasploit),N/A,Wordpress Plugin wpDiscuz 7.0.4 - Unauthenticated Arbitrary File Upload (Metasploit),0.6930388808250427,5
CVE-2023-4220,Chamilo LMS 1.11.24 - Remote Code Execution (RCE),CVE-2021-37391,Chamilo LMS 1.11.14 - Account Takeover,0.6929494738578796,2
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,N/A,Traffic Offense Management System 1.0 - Remote Code Execution (RCE) (Unauthenticated),0.6926841735839844,10
CVE-2019-19609,Strapi 3.0.0-beta.17.7 - Remote Code Execution (RCE) (Authenticated),CVE-2024-48827,Watcharr 1.43.0 - Remote Code Execution (RCE),0.6925647258758545,1
CVE-2022-21661,WordPress Core 5.8.2 - 'WP_Query' SQL Injection,N/A,Simple Library Management System 1.0 - 'rollno' SQL Injection,0.6919949054718018,4
CVE-2020-1147,Microsoft SharePoint Server 2019 - Remote Code Execution,CVE-2022-23626,m1k1o's Blog v.10 - Remote Code Execution (RCE) (Authenticated),0.6912676692008972,2
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,N/A,Responsive Tourism Website 3.1 - Remote Code Execution (RCE) (Unauthenticated),0.691178560256958,10
CVE-2021-22911,Rocket.Chat 3.12.1 - NoSQL Injection to RCE (Unauthenticated) (2),CVE-2020-35848;CVE-2020-35847,Cockpit CMS 0.11.1 - 'Username Enumeration & Password Reset' NoSQL Injection,0.6907269358634949,1
CVE-2020-7247,OpenSMTPD 6.6.1 - Remote Code Execution,CVE-2020-8794,OpenSMTPD - OOB Read Local Privilege Escalation (Metasploit),0.6903901100158691,1
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),CVE-2021-42840,SuiteCRM 7.11.18 - Remote Code Execution (RCE) (Authenticated) (Metasploit),0.6901447176933289,7
CVE-2023-0297,PyLoad 0.5.0 - Pre-auth Remote Code Execution (RCE),N/A,Job Portal 1.0 - Remote Code Execution,0.6897428631782532,4
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),N/A,Bludit 3.9.2 - Authentication Bruteforce Bypass (Metasploit),0.6895086169242859,8
CVE-2020-1147,Microsoft SharePoint Server 2019 - Remote Code Execution,N/A,CMSimple 5.4 - Local file inclusion (LFI) to Remote code execution (RCE) (Authenticated),0.6893841028213501,3
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),N/A,WordPress Plugin Autoptimize 2.7.6 - Authenticated Arbitrary File Upload (Metasploit),0.6888706088066101,9
CVE-2020-7961,Liferay Portal - Java Unmarshalling via JSONWS RCE (Metasploit),N/A,Wago PFC200 - Authenticated Remote Code Execution (Metasploit),0.6880431175231934,2
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,CVE-2025-51398,LiveHelperChat 4.61 - Stored Cross Site Scripting (XSS) via Facebook Integration Page Name Field,0.6875597834587097,7
CVE-2023-22809,sudo 1.8.0 to 1.9.12p1 - Privilege Escalation,CVE-2022-37706,Enlightenment v0.25.3 - Privilege escalation,0.6875122785568237,2
CVE-2022-21661,WordPress Core 5.8.2 - 'WP_Query' SQL Injection,N/A,Dairy Farm Shop Management System 1.0 - 'username' SQL Injection,0.6846445798873901,5
CVE-2025-0868,DocsGPT 0.12.0 - Remote Code Execution,N/A,CMSUno 1.6.2 - 'user' Remote Code Execution (Authenticated),0.6844870448112488,2
CVE-2024-4577,PHP CGI Module 8.3.4 - Remote Code Execution (RCE),N/A,Zentao Project Management System 17.0 - Authenticated Remote Code Execution (RCE),0.6844713091850281,1
CVE-2021-22205,GitLab 13.10.2 - Remote Code Execution (RCE) (Unauthenticated),N/A,Gitlab 13.10.2 - Remote Code Execution (Authenticated),0.6843652129173279,5
CVE-2020-6418,Google Chrome 80 - JSCreate Side-effect Type Confusion (Metasploit),CVE-2020-11108,Pi-Hole - heisenbergCompensator Blocklist OS Command Execution (Metasploit),0.6843196749687195,1
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),N/A,Microweber CMS 1.2.10 - Local File Inclusion (Authenticated) (Metasploit),0.6842759251594543,10
CVE-2023-3460,Ultimate Member WordPress Plugin 2.6.6 - Privilege Escalation,CVE-2015-6830,PHPMyAdmin 3.0 - Bruteforce Login Bypass,0.6841756701469421,2
CVE-2024-4577,PHP CGI Module 8.3.4 - Remote Code Execution (RCE),CVE-2022-23046,PHPIPAM 1.4.4 - SQLi (Authenticated),0.6838703751564026,2
CVE-2024-4577,PHP CGI Module 8.3.4 - Remote Code Execution (RCE),CVE-2018-6383,Monstra CMS 3.0.4 - Remote Code Execution (Authenticated),0.6837908029556274,3
CVE-2021-42013;CVE-2021-41773,Apache HTTP Server 2.4.50 - Remote Code Execution (RCE) (3),N/A,WBCE CMS 1.5.2 - Remote Code Execution (RCE) (Authenticated),0.6836305856704712,6
CVE-2021-22205,GitLab 13.10.2 - Remote Code Execution (RCE) (Unauthenticated),CVE-2018-19585;CVE-2018-19571,GitLab 11.4.7 - RCE (Authenticated) (2),0.6831486225128174,6
CVE-2020-1147,Microsoft SharePoint Server 2019 - Remote Code Execution (2),N/A,Craft CMS 4.4.14 - Unauthenticated Remote Code Execution,0.6830700635910034,3
CVE-2021-42013;CVE-2021-41773,Apache HTTP Server 2.4.50 - Remote Code Execution (RCE) (3),N/A,Online Hotel Booking In PHP 1.0 - Blind SQL Injection (Unauthenticated),0.6829774975776672,7
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,N/A,Engineers Online Portal 1.0 - 'multiple' Stored Cross-Site Scripting (XSS),0.6824797987937927,8
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,N/A,WordPress Plugin Smart Slider-3 3.5.0.8 - 'name' Stored Cross-Site Scripting (XSS),0.6821681261062622,9
CVE-2020-8816,Pi-hole 4.3.2 - Remote Code Execution (Authenticated),CVE-2020-11108,Pi-hole 4.4.0 - Remote Code Execution (Authenticated),0.6813689470291138,2
CVE-2020-1147,Microsoft SharePoint Server 2019 - Remote Code Execution,N/A,File Thingie 2.5.7 - Remote Code Execution (RCE),0.681207537651062,4
CVE-2025-0868,DocsGPT 0.12.0 - Remote Code Execution,N/A,SEO Panel 4.6.0 - Remote Code Execution (1),0.6809757351875305,3
CVE-2025-24893,XWiki Platform 15.10.10 - Metasploit Module for Remote Code Execution (RCE),CVE-2022-30781,Gitea 1.16.6 - Remote Code Execution (RCE) (Metasploit),0.6808919906616211,1
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,N/A,Seotoaster 3.2.0 - Stored XSS on Edit page properties,0.6801648736000061,10
CVE-2020-1147,Microsoft SharePoint Server 2019 - Remote Code Execution (2),CVE-2022-23626,m1k1o's Blog v.10 - Remote Code Execution (RCE) (Authenticated),0.67988520860672,4
CVE-2019-9082;CVE-2018-20062,ThinkPHP - Multiple PHP Injection RCEs (Metasploit),N/A,WordPress Plugin InfiniteWP - Client Authentication Bypass (Metasploit),0.6798120141029358,4
CVE-2022-24112,Apache APISIX 2.12.1 - Remote Code Execution (RCE),CVE-2022-41544,GetSimple CMS v3.3.16 - Remote Code Execution (RCE),0.6797565817832947,1
CVE-2025-32463,Sudo chroot 1.9.17 - Local Privilege Escalation,CVE-2025-32462,Sudo 1.9.17 Host Option - Elevation of Privilege,0.6795350909233093,1
CVE-2022-35914,htmlLawed 1.2.5 - Remote Code Execution (RCE),N/A,Engineers Online Portal 1.0 - File Upload Remote Code Execution (RCE),0.6794949173927307,1
CVE-2019-9082;CVE-2018-20062,ThinkPHP - Multiple PHP Injection RCEs (Metasploit),N/A,Wordpress Plugin wpDiscuz 7.0.4 - Unauthenticated Arbitrary File Upload (Metasploit),0.6783251166343689,5
CVE-2024-30269,DataEase 2.4.0 - Database Configuration Information Exposure,CVE-2022-23626,m1k1o's Blog v.10 - Remote Code Execution (RCE) (Authenticated),0.6779395937919617,1
CVE-2025-24893,XWiki Platform 15.10.10 - Remote Code Execution,CVE-2023-48292,XWiki Standard 14.10 - Remote Code Execution (RCE),0.6775134205818176,1
CVE-2025-0868,DocsGPT 0.12.0 - Remote Code Execution,CVE-2023-48292,XWiki Standard 14.10 - Remote Code Execution (RCE),0.6769231557846069,4
CVE-2022-24112,Apache APISIX 2.12.1 - Remote Code Execution (RCE),N/A,Centreo 19.10.8 - 'DisplayServiceStatus' Remote Code Execution,0.6768160462379456,2
CVE-2020-8657;CVE-2020-8656;CVE-2020-8655;CVE-2020-8654,EyesOfNetwork - AutoDiscovery Target Command Execution (Metasploit),CVE-2021-21425,GravCMS 1.10.7 - Unauthenticated Arbitrary File Write (Metasploit),0.6766800880432129,1
CVE-2018-16167,LogonTracer 1.2.0 - Remote Code Execution (Unauthenticated),N/A,OpenEMR v7.0.1 - Authentication credentials brute force,0.6766013503074646,2
